	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	afgrond		znw					393
de	afgunst		znw					394
het	afhaalrestaurant		znw					395
	afhaken		ww					396
	afhandelen		ww					397
	afhangen van		ww		B1	veranderen met		398
	afhankelijk		bnw		A2(?)			399
	afhankelijk van		bnw					400
	afhouden		ww					401
	afk.					afkorting		402
de	afkeer		znw					403
	afkeuren		ww					404
de	afkeuring		znw					405
	afkicken		ww					406
	afkijken		ww					407
	afknappen op		ww					408
de	afknapper		znw					409
	afkoelen		ww					410
	afkomen		ww		B2	(BE) bezoeken, langskomen		411
	afkomen op		ww			naartoe komen		412
	afkomen van		ww			zorgen dat je het niet meer hebt		413
de	afkomst		znw			origine		414
	afkomstig uit/van		bnw		A2			415
	afkondigen		ww					416
de	afkoopsom		znw					417
de	afkorting		znw					418
	afleggen		ww					419
	afleiden		ww					420
	afleiden uit		ww					421
de	afleiding		znw					422
	afleren		ww					423
	afleveren		ww					424
de	aflevering		znw					425
de	afloop		znw					426
	aflopen		ww		A2			427
	aflossen		ww					428
	afluisteren		ww					429
	afmaken		ww		B1	eraan werken tot het klaar is	Ben je klaar? — Nee, ik maak het straks af.	430
de	afmeting		znw					431
	afnemen		ww		B2			432
	afpakken		ww		B1			433
	afraden		ww					434
de	afrastering		znw					435
	afrekenen		ww					436
de	afrekening		znw					437
	afremmen		ww					438
	africhten		ww					439
	Afrika					continent tussen Europa en de Zuidpool (Antarctica)		440
	Afrikaans		bnw			uit Afrika		441
het	Afrikaans		znw			taal van Zuid-Afrika die op Nederlands lijkt		442
de	afrit		znw					443
	afronden		ww			stilaan stoppen		444
	afronden		ww			naar een meer geheel getal gaan		444
	afschaffen		ww					445
het	afscheid		znw		A2	"doei" zeggen		446
	afscheiden		ww					447
zich	afscheiden van		ww					448
de	afscheiding		znw					449
	afschepen met		ww					450
	afschermen		ww					451
	afschilderen		ww					452
het	afschrift		znw					453
	afschrijven		ww					454
	afschrikken		ww					455
	afschrikwekkend		bnw					456
	afschuiven		ww					457
de	afschuw		znw					458
	afschuwelijk		bnw			verschrikkelijk		459
	afschuwelijk		bnw			heel erg (maar negatief)		459
	afslaan		ww			naar links of rechts gaan		460
	afslaan		ww			nee zeggen tegen een aanbod		460
de	afslag		znw					461
	afslanken		ww			dunner worden, afvallen		462
	afsluiten		ww		B1	stoppen		463
	afsluiten		ww		B1	(een contract) starten		463
zich	afsluiten voor		ww					464
	afsnijden		ww					465
	afspelen		ww					466
