	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	achterdochtig		bnw*	achterdochtige; achterdochtiger, achterdochtigst*	B2*		
	achtereen		bw*	*	B2*	de een na de ander (zonder pauze)	
	achtereenvolgend		bnw*	achtereenvolgende; /, /*	B2*	na elkaar	
	achtereenvolgens		bw*	*	B2*	daarna zonder pauze	
	achteren		bw*	*	B2*		
de	achtergrond		znw*	achtergronden; achtergrondje*	A2	context, omgeving van een scène	
de	achtergrond		znw*	achtergronden; achtergrondje*	B1*	wat er vooraf gebeurd is	
	achterhaald		bnw			ouderwets, cliché	
	achterhalen		ww*	achterhaal, achterhaalde, achterhaald*	B2*	informatie vinden, te weten komen	
het	achterhoofd		znw*	achterhoofden; achterhoofdje*	B1*		
	achterin		bw*	*	B1*		
de	achterkant		znw*	achterkanten; achterkantje*	A2	↔ voorkant	
het	achterkleinkind		znw*	achterkleinkinderen; achterkleinkindje*	B2*		
	achterlaten		ww*	laat achter, achterliet, achtergelaten*	B1*		
	achterliggen		ww*	lig achter, achterlag, achtergelegen*	B2*		
	achterlijk		bnw; znw*	achterlijke; achterlijker, achterlijkst*	B1*		
	achterna		bw*	*	B1*		
de	achternaam		znw*	achternamen; /*	A1	familienaam	Ik ben Steven Vos; Vos is mijn achternaam.
de	achterneef		znw*	achterneven; achterneefje*	B2	neef van je neef/nicht	Toon is mijn achterneef; ik zie hem alleen op grote familiefeesten.
de	achterneef		znw*	achterneven; achterneefje*	B2	jongen met dezelfde overgrootouder	
de	achterneef		znw*	achterneven; achterneefje*	B2	zoon van je neef/nicht	
de	achternicht		znw*	achternichten; achternichtje*	B2	nicht van je neef/nicht	
de	achternicht		znw*	achternichten; achternichtje*	B2	meisje met dezelfde overgrootouder	
de	achternicht		znw*	achternichten; achternichtje*	B2	dochter van je neef/nicht	
	achterop		bw*	*	B1*		
	achterover		bw*	*	B1*		
	achterstaan		ww*	achtersta, stond achter, achtergestaan*	B2*		
	achterstallig		bnw*	achterstallige; achterstalliger, achterstalligst*	B2*		
de	achterstand		znw*	achterstanden; achterstandje*	B1*		
	achterstevoren		bw*	*	B1*		
de	achtertuin		znw*	achtertuinen; achtertuintje*	B2*		
	achteruit		znw; bw*	*	B1		
de	achteruitgang		znw*	achteruitgangen; /*	B2*		
	achtervolgen		ww*	achtervolg, achtervolgde, achtervolgd*	B1*		
de	achtervolging		znw*	achtervolgingen; achtervolginkje*	B1*		
	achterwege		bw*	*	B2*		
het	achterwerk		znw*	achterwerken; achterwerkje*	B2*		
	-achtig						
de	achting		znw*	/; /*	B2*		
	achtste		tw; znw; znw*	*	A2*	8ste	
	achttien		tw*	*	A2*	18	
	achttiende		tw*	*	A2*		
de	acquisitie		znw*	acquisities; /*	B2*		
de	acrobatiek		znw*	/; /*	B2*		
de	act		znw*	acts; actje*	B2*		
	acteren		ww*	acteer, acteerde, geacteerd*	B1*		
de	acteur		znw*	acteurs; acteurtje*	B1*		
de	actie		znw*	acties; actietje*	A2	iets wat je doet	Aldi doet acties op woensdag en zaterdag.
	actief		znw; bnw*	actieve; actiever, actiefst*	A2	niet passief	
de	actiegroep		znw*	actiegroepen; actiegroepje*	B2*		
de	actievoerder		znw*	actievoerders; actievoerdertje*	B2*		
de	activist		znw*	activisten; activistje*	B2*		
de	activiteit		znw*	activiteiten; activiteitje*	A2	situatie waar mensen iets doen	
de	actrice		znw*	actrices; actricetje*	B1*		
de	actualiteit		znw*	actualiteiten; /*	B2*		
	actueel		bnw*	actuele; actueler, actueelst*	B2*		
	acuut		bnw*	acute; acuter, acuutst*	B2*		
het	ACV		znw*	/; /*	B2*	(BE) Algemeen Christelijk Vakverbond	
	A.D.		bw*	*	B2*	anno domini; na Christus	
de	adder		znw*	adders; addertje*	B1*		
de	adel		znw*	/; /*	B1*		
